data,pais,variavel,valor,atualizacao
2022-01-01,Cameroon,"Inflação (Anual, %)",6.24767713343879,2023-12-24T13:31:52Z
1960-01-01,Costa Rica,"Inflação (Anual, %)",0.790205817960074,2023-12-24T13:31:52Z
1961-01-01,Costa Rica,"Inflação (Anual, %)",2.4307939100916,2023-12-24T13:31:52Z
1962-01-01,Costa Rica,"Inflação (Anual, %)",2.67785968742788,2023-12-24T13:31:52Z
1963-01-01,Costa Rica,"Inflação (Anual, %)",2.93161847051352,2023-12-24T13:31:52Z
1964-01-01,Costa Rica,"Inflação (Anual, %)",3.32403316018127,2023-12-24T13:31:52Z
1965-01-01,Costa Rica,"Inflação (Anual, %)",-0.665000000583401,2023-12-24T13:31:52Z
1966-01-01,Costa Rica,"Inflação (Anual, %)",0.182882837621527,2023-12-24T13:31:52Z
1967-01-01,Costa Rica,"Inflação (Anual, %)",1.20834031134425,2023-12-24T13:31:52Z
1968-01-01,Costa Rica,"Inflação (Anual, %)",4.09389143106836,2023-12-24T13:31:52Z
1969-01-01,Costa Rica,"Inflação (Anual, %)",2.62934083658332,2023-12-24T13:31:52Z
1970-01-01,Costa Rica,"Inflação (Anual, %)",4.65229749303154,2023-12-24T13:31:52Z
1971-01-01,Costa Rica,"Inflação (Anual, %)",3.08304841408707,2023-12-24T13:31:52Z
1972-01-01,Costa Rica,"Inflação (Anual, %)",4.60112569280858,2023-12-24T13:31:52Z
1973-01-01,Costa Rica,"Inflação (Anual, %)",15.2140342204182,2023-12-24T13:31:52Z
1974-01-01,Costa Rica,"Inflação (Anual, %)",30.0736292803636,2023-12-24T13:31:52Z
1975-01-01,Costa Rica,"Inflação (Anual, %)",17.3692020226552,2023-12-24T13:31:52Z
1976-01-01,Costa Rica,"Inflação (Anual, %)",3.48583333291706,2023-12-24T13:31:52Z
1977-01-01,Costa Rica,"Inflação (Anual, %)",4.1902404526167,2023-12-24T13:31:52Z
1978-01-01,Costa Rica,"Inflação (Anual, %)",6.00712709994902,2023-12-24T13:31:52Z
1979-01-01,Costa Rica,"Inflação (Anual, %)",9.18841043700977,2023-12-24T13:31:52Z
1980-01-01,Costa Rica,"Inflação (Anual, %)",18.135170796071,2023-12-24T13:31:52Z
1981-01-01,Costa Rica,"Inflação (Anual, %)",37.0563415239514,2023-12-24T13:31:52Z
1982-01-01,Costa Rica,"Inflação (Anual, %)",90.1213328504166,2023-12-24T13:31:52Z
1983-01-01,Costa Rica,"Inflação (Anual, %)",32.6237081487831,2023-12-24T13:31:52Z
1984-01-01,Costa Rica,"Inflação (Anual, %)",11.9474270118864,2023-12-24T13:31:52Z
